31,Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
37,Green Bancorp,"GREEN BANCORP, INC.","FIRST GREEN BANCORP, INC.",RESURGENS BANCORP,"GREEN VALLEY BANCORP, MHC",GUARANTY BANCORP
43,Northwest Bancorp,NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,NORTHWEST INDIANA BANCORP,STATE BANCORP NORTHWEST,"NORTHWEST WISCONSIN BANCORP, INC."
32,Baylake,BAYLAKE CORP.,WALKER BAN CO.,COLBANK BANCORP,"STATE BANCO, LTD.","LAKESIDE BANCORP, INC."
26,CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,EXCHANGE STATE BANK CORP.,"ROCHESTER STATE BANKSHARES, INC.","CENTRAL-STATE BANCORP, INC."
38,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
44,Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,"RAE VALLEY FINANCIALS, INC.","VALLEY FINANCIAL GROUP, LTD.","MACKINAW VALLEY FINANCIAL SERVICES, INC.","TENNESSEE VALLEY FINANCIAL HOLDINGS, INC."
33,Firstmmonwealth Finl,"FIRST WESTERN FINANCIAL, INC.","FIRST FINANCIAL NORTHWEST, INC.",FIRST PERSONAL FINANCIAL CORP.,"NEW MEXICO FIRST FINANCIAL, INC.","FIRST FINANCIAL HOLDING CO., LTD."
27,Unitedmmunity Banks,COMMUNITY BANK CORP.,"UNITED COMMUNITY BANKS, INC.",BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"BANKUNITED, INC."
39,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
45,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS INVESTMENT, INC."
28,Heritagemmerce,"HERITAGE GROUP, INC.",HERITAGE BANCORP,"HERITAGE BANCORP, INC.","COMMERCE BANCSHARES, INC.","HERITAGE BANCSHARES, INC."
34,FNB Bancorp,FNB BANCORP,"FNB BANCORP, INC.",MNB BANCORP,CNB BANCORP,FSB BANCORP
46,Citizens Finl Svcs,"CITIZENS FINANCIAL SERVICES, INC.","TWIN CITIES FINANCIAL SERVICES, INC.","CITIZENS FINANCIAL GROUP, INC.",FIRST CITIZENS FINANCIAL CORP.,CITIZENS FINANCIAL CORP.
40,BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
29,Merchants Bancshares,"MERCHANTS BANCSHARES, INC.","MERCHANTS & FARMERS BANCSHARES, INC.","FARMERS & MERCHANTS BANCSHARES, INC.","MERCHANTS AND FARMERS BANCSHARES, INC.","FARMERS AND MERCHANTS BANCSHARES, INC."
35,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
47,Premier Finl Bancorp,"PREMIER FINANCIAL BANCORP, INC.",PREMIER FINANCIAL CORP.,PREMIER COMMERCIAL BANCORP,"PACIFIC PREMIER BANCORP, INC.","PREMIER COMMERCE BANCORP, INC."
41,Home BancShares,"HOME BANCSHARES, INC.","MOUNTAIN HOME BANCSHARES, INC.","HOPE BANCSHARES, INC.","SHORE BANCSHARES, INC.","HODGE BANCSHARES, INC."
48,Nationalmmerce,YALE BANCORPORATION,"FARMERS BANCORPORATION, INC.",WESTAMERICA BANCORPORATION,"CALUMET BANCORPORATION, INC.",MERCANTILE BANK CORPORATION
54,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
60,Oak Valley Bancorp,OAK VALLEY BANCORP,MISSION VALLEY BANCORP,OHIO VALLEY BANC CORP.,"FREDONIA VALLEY BANCORP, INC.","LAKE VALLEY BANCORP, INC."
66,Republic Bancorp,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.","REPUBLIC FIRST BANCORP, INC.",CALIFORNIA REPUBLIC BANCORP,RBB BANCORP
55,Lakeland Bancorp,"LAKELAND BANCORP, INC.",TIMBERLAND BANCORP,HEARTLAND BANCCORP,CORTLAND BANCORP,"IRELAND BANCORP, LTD."
49,Amer Riviera Bank,AMERICAN RIVER BANKSHARES,AMERIS BANCORP,"MID AMERICA BANKS, INC.",BAKER BOYER BANCORP,PINE RIVER BANK CORP.
61,California Bank ofmmerce,"BANC OF CALIFORNIA, INC.",CALIFORNIA REPUBLIC BANCORP,"COMMERCE BANCORP, INC","COMMERCE BANCORP, INC.","NORTHERN CALIFORNIA BANCORP, INC."
67,Yadkin Financial,YADKIN FINANCIAL CORPORATION,ALLY FINANCIAL INC.,BAC FINANCIAL INC.,"ROYAL FINANCIAL, INC.","MB FINANCIAL, INC."
50,Preferred Bank,"PREFERRED BANCORP, INC.","PIONEER BANK SHARES, INC.",FIRST PIONEER BANK CORP.,"PIONEER BANKCORP, INC.",PINE RIVER BANK CORP.
56,Old Line Bancshares,"OLD LINE BANCSHARES, INC.","ROYAL BANCSHARES, INC.","NOBLE BANCSHARES, INC.","VOGEL BANCSHARES, INC.","MOHLER BANCSHARES, INC."
62,Park Sterling,PARK STERLING CORPORATION,STERLING BANCORP,"STERLING BANCSHARES, INC.","MOUNT STERLING BANCORP, INC","STERLING CITY BANCSHARES, INC."
68,Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
51,Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,INDEPENDENT BANK CORPORATION,"MIDWEST BANK GROUP, INC.","PRIME BANK GROUP, INC."
57,Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"HOPE BANCSHARES, INC.","PORT BANCSHARES, INC.","BOSP BANCSHARES, INC."
63,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP
69,Revere Bank,PINE RIVER BANK CORP.,SEBREE BANKCORP,WOORI BANK,SURREY BANCORP,CSRA BANK CORP.
52,Suncrest Bank,"SUNTRUST BANKS, INC.",ST BANC CORP.,FIRST BANK CORP,"ESPUELA BANK SHARES, INC.",STATE BANK CORP.
58,BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
64,Pacific Premier Bancorp,"PACIFIC PREMIER BANCORP, INC.",TRANS PACIFIC BANCORP,"PREMIER FINANCIAL BANCORP, INC.","PREMIER COMMERCE BANCORP, INC.","PIKE BANCORP, INC."
70,Renasant,RENASANT CORPORATION,"SAINT CLAIR AGENCY, INC.","SARGENT BANKSHARES, INC.","ARNESON BANCSHARES, INC.",KENBANCORP
53,Glacier Bancorp,"GLACIER BANCORP, INC.","GC BANCORP, INC.",CU BANCORP,OFG BANCORP,CEDAR BANCORP
59,BB&T,BB&T CORPORATION,BBS CORP.,"CSB&T BANCORP, INC.","CB&T BANCSHARES, INC.",SVB&T CORPORATION
65,CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,EXCHANGE STATE BANK CORP.,"ROCHESTER STATE BANKSHARES, INC.","CENTRAL-STATE BANCORP, INC."
71,Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN FIRST BANCSHARES, INC."
72,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
78,Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
84,Capital Bank Financial,CAPITAL BANK FINANCIAL CORP.,BNH FINANCIAL,BLACK CAT FINANCIAL CORP,"CAPITAL BANCORP, INC.",SELECT BANK FINANCIAL CORPORATION
90,Franklin Financial Network,"FRANKLIN FINANCIAL NETWORK, INC.","OAK FINANCIAL, INC.","TGR FINANCIAL, INC.","COMMODORE FINANCIAL NETWORK, INC.",FRANKLIN FINANCIAL SERVICES CORPORATION
73,Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIRST SOUTHERN BANCORP, INC.",BANCORP OF SOUTHERN INDIANA,"FIDELITY BANCSHARES, INC.","SOUTHWEST SECURITY, INC."
79,United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","GUARANTY BANKSHARES, LTD.","UNITY BANCSHARES, L.L.C."
85,WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"GLAASS FINANCIAL, LLC",WELLS FINANCIAL CORP.
91,Pacificmmerce Bank,TRANS PACIFIC BANCORP,"PACIFIC PREMIER BANCORP, INC.","CAPITAL COMMERCE BANCORP, INC.",OREGON PACIFIC BANCORP,"P & C BANK SHARES, INC."
74,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN BANCORP, INC.",AMERIANA BANCORP,"AMERICAN CHARTERED BANCORP, INC."
80,BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
86,Great Western Bancorp,"GREAT SOUTHERN BANCORP, INC.","EAST WEST BANCORP, INC.",ALL WEST BANCORP,"GREATER ROCHESTER BANCORP, INC.",PACWEST BANCORP
81,County Bancorp,TRI-COUNTY BANCORP.,COUNTY BANK CORP,"COUNTY BANCORP, INC.",CU BANCORP,COMMUNITY BANCORP
75,KeyCorp,KEYCORP,KENBANCORP,BAYLAKE CORP.,CENTURY BANK CORP.,"ELKCORP, INC."
82,MB Financial,"MB FINANCIAL, INC.","MSB FINANCIAL, INC.",MBT FINANCIAL CORP.,MVB FINANCIAL CORP.,"HAMBURG FINANCIAL, INC."
87,Charter Financial,CBT FINANCIAL CORP.,BNH FINANCIAL,R CORP FINANCIAL,"CEDARSTONE FINANCIAL, INC.","EXCHANGE FINANCIAL, INC."
83,Hanmi Financial,HANMI FINANCIAL CORPORATION,"HAMBURG FINANCIAL, INC.","HARTLAND FINANCIAL, INC.","HOHL FINANCIAL, INC.",HAINES FINANCIAL CORP
76,Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.","BANK OF NOVA SCOTIA, THE",STATE BANK CORP.
88,BBCN Bancorp,"BBCN BANCORP, INC.",BEACON BANCORP,CNB BANCORP,BNC BANCORP,CBB BANCORP
77,Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"CBA BANKSHARES, INC.","CARLSON BANKSHARES, INC.","CHARTER BANKSHARES, INC.","PALCO BANKSHARES, INC."
89,BOK Financial,BOK FINANCIAL CORPORATION,BNH FINANCIAL,"CBOA FINANCIAL, INC.","BANCORP FINANCIAL, INC.","BANKWEST FINANCIAL, INC."
